Brand Name,Total Score Section 1,Total Score Section 2,Total Score Section 3,Total Score Section 4,Total Score Section 5,TOTAL POINTS
Abercrombie & Fitch,18.75,4,7,10,10,49.75
Adidas,30,8,43,23,32,136
Aeropostale,5.5,0,0,3,0,8.5
AJIO,11.25,2,0,3,2,18.25
ALDI Nord,21,5,12,12,12,62
ALDI SOUTH,24,6,18,14,15,77
ALDO,14.5,2,1,10,8,35.5
Amazon,23.25,4,16,10,15,68.25
American Eagle,18.75,5,1,4,10,38.75
ANTA,7.5,2,0,4,4,17.5
Anthropologie,13.25,4,0,7,15,39.25
Aritzia,19.75,8,1,11,17,56.75
Armani,21.75,2,0,4,7,34.75
Asda,23.5,8,26,16,22,95.5
ASICS,26.25,8,40,20,28,122.25
ASOS,27.25,6,46,19,20,118.25
Balenciaga,28,11,8,21,39,107
Bally,14,4,0,3,14,35
Banana Republic,30,6,33,25,29,123
BCBGMAXAZRIA,1.75,0,0,3,0,4.75
Beanpole,5.5,6,1,0,5,17.5
Belle,0,0,0,0,0,0
Bershka,29.5,8,1,16,35,89.5
Big Bazaar - ffb,0,0,0,0,0,0
Big W,26,4,15,18,10,73
Billabong,0.75,0,0,0,0,0.75
Bloomingdale's,16,2,0,5,2,25
Bonprix,23.25,7,30,14,14,88.25
boohoo,17.25,6,13,6,7,49.25
Bosideng,8.5,2,0,1,0,11.5
Bottega Veneta,28,11,8,21,38,106
Brooks Sport,20,4,23,9,18,74
Brunello Cucinelli,1.5,1,0,6,4,12.5
Buckle,9.75,2,0,6,0,17.75
Burberry,28.5,8,1,14,33,84.5
Burlington,15.5,4,0,7,10,36.5
C&A,30.75,10,62,24,36,162.75
Calvin Klein,29.5,6,53,24,35,147.5
Calzedonia,13.75,4,0,0,9,26.75
Canada Goose,10,0,1,5,5,21
Carhartt,8.5,2,9,2,0,21.5
Carolina Herrera,17.5,2,0,4,12,35.5
CAROLL,15.5,1,0,9,6,31.5
Carrefour,22.25,6,8,12,11,59.25
Carter's,16.75,2,1,8,3,30.75
CELINE,26.5,10,1,9,9,55.5
celio,1,0,0,0,0,1
Champion,21.25,10,29,11,27,98.25
Chanel,15,2,0,4,6,27
Chico's,13,2,0,4,2,21
Chloé,18,8,1,8,11,46
Claire's,5.75,0,0,2,0,7.75
Clarks,22.25,5,41,10,7,85.25
COACH,19,4,7,7,17,54
Cole Haan,7,2,1,3,1,14
Columbia Sportswear,18.25,6,14,11,13,62.25
Converse,30.5,8,45,15,40,138.5
Cortefiel,19,2,1,10,5,37
Costco,16.25,3,1,5,4,29.25
Cotton On,13,1,16,12,2,44
Decathlon,23,2,1,12,21,59
Deichmann,6,0,0,0,0,6
Desigual,18.5,0,17,9,8,52.5
Dick's Sporting Goods,20.75,4,31,12,10,77.75
Diesel,14,0,0,2,2,18
Dillard's,6.25,2,0,7,0,15.25
Dior,26.5,10,1,9,9,55.5
Disney,16.25,4,14,13,4,51.25
DKNY,2.5,0,0,2,0,4.5
Dolce & Gabbana,4,0,0,0,0,4
Dr. Martens,16.25,4,10,4,4,38.25
Dressmann,27,8,41,23,20,119
DSW,11.5,2,0,6,3,22.5
Eddie Bauer,5.25,0,0,1,1,7.25
El Corte Inglés,24.25,4,12,12,18,70.25
Elie Tahari,0,0,0,0,0,0
Ermenegildo Zegna,11,2,58,7,4,82
Esprit,27.75,8,68,20,27,150.75
Express,7.75,2,0,5,0,14.75
Falabella,18.25,6,0,10,9,43.25
Famous Footwear,10,2,1,2,0,15
Fanatics,6.5,0,20,3,1,30.5
Fashion Nova,0.5,0,0,0,0,0.5
Fendi,26.5,10,49,10,13,108.5
Fila,6.75,1,0,2,1,10.75
Fjällräven,23,8,7,12,20,70
Foot Locker,9.25,4,0,3,2,18.25
Foschini,13.75,4,10,5,10,42.75
Fossil,16.25,0,7,4,4,31.25
Free people,13.25,4,0,7,15,39.25
Fruit of the Loom,21,4,26,13,21,85
Furla,11.75,2,0,4,0,17.75
Gap,30,6,33,25,29,123
Gerry Weber,5.25,2,1,4,0,12.25
Gildan,29.75,8,71,19,30,157.75
G-Star RAW,28.75,8,43,14,14,107.75
GU,28.25,6,24,20,27,105.25
Gucci,29.25,11,23,21,55,139.25
GUESS,17.75,3,0,3,6,29.75
H&M,28.75,11,60,24,45,168.75
Hanes,21.25,10,29,11,27,98.25
Heilan Home,0.75,0,0,0,0,0.75
Helly Hansen,15.25,2,48,10,15,90.25
HEMA,14.25,3,35,4,4,60.25
Hermès,30.75,9,17,14,22,92.75
Hollister Co.,18.75,4,7,10,10,49.75
Hudson's Bay,16,2,7,7,1,33
Hugo Boss,25.25,11,18,14,16,84.25
Intimissimi,13.75,4,0,0,9,26.75
Ito-Yokado,20.5,2,1,8,5,36.5
Jack & Jones,21,4,19,7,12,63
JD Sports,17.5,5,17,12,15,66.5
Jessica Simpson,0,0,0,0,0,0
Jil Sander,8.25,0,0,3,4,15.25
Jockey,4.5,0,0,1,0,5.5
Joe Fresh,15.5,2,4,7,5,33.5
John Lewis,20.25,2,18,5,21,66.25
Jordan,30.5,8,45,15,40,138.5
Justfab,6.25,0,0,2,0,8.25
Kate Spade,19,4,7,7,17,54
Kathmandu,23.75,2,20,6,10,61.75
Kaufland,8.25,2,15,4,5,34.25
Kiabi,13,5,12,9,15,54
KiK,18.75,3,1,9,4,35.75
Kmart,11,4,0,6,0,21
Kmart Australia,28.25,8,41,25,37,139.25
Kohl's,18.25,2,1,9,7,37.25
KOOVS,0,0,0,0,0,0
K-Way,8,2,0,0,0,10
La Redoute,12.5,2,1,3,4,22.5
Lacoste,19.75,4,41,11,11,86.75
Lands' End,19,4,1,8,4,36
LC Waikiki,7.25,0,1,1,1,10.25
Levi Strauss & Co,30.75,8,32,13,27,110.75
Lidl,19,4,13,18,14,68
Lindex,24,4,61,11,26,126
